inproceedings:ID;author:string[];author-aux:string[];author-orcid:string[];booktitle:string;cdrom:string[];cite:string[];cite-label:string[];crossref:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];key:string;mdate:date;month:string;note:string;note-type:string;number:string;pages:string;publtype:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string;url:string;volume:int;year:int
6608535;Hidetoshi Onodera|Masanori Hashimoto|Takashi Sato;;0000-0002-0377-2108;ASP-DAC;;;;conf/aspdac/2005;;;https://doi.org/10.1109/ASPDAC.2005.1466443|https://doi.org/10.1145/1120725.1121003;;;conf/aspdac/SatoHO05;2022-01-03;;;;;723-728;;;;Successive pad assignment algorithm to optimize number and location of power supply pad using incremental matrix inversion.;;;db/conf/aspdac/aspdac2005.html#SatoHO05;;2005
6609128;Görschwin Fey|Heinz Riener|Rüdiger Ehlers;;0000-0001-6433-6265|0000-0003-1527-7160;ASP-DAC;;;;conf/aspdac/2017;;;https://doi.org/10.1109/ASPDAC.2017.7858328;;;conf/aspdac/RienerEF17;2018-11-02;;;;;251-256;;;;CEGAR-based EF synthesis of Boolean functions with an application to circuit rectification.;;;db/conf/aspdac/aspdac2017.html#RienerEF17;;2017
6611815;Markus Pelnar|Michael Hutter|Michael Muehlberghuber;;;CARDIS;;;;conf/cardis/2012;;;https://doi.org/10.1007/978-3-642-37288-9_12;;;conf/cardis/PelnarMH12;2017-05-23;;;;;173-187;;;;Putting together What Fits together - GrÆStl.;;;db/conf/cardis/cardis2012.html#PelnarMH12;;2012
6612291;Hiromu Ogawa|Manabu Hirano;;;ARES;;;;conf/IEEEares/2016;;;http://doi.ieeecomputersociety.org/10.1109/ARES.2016.8|https://doi.org/10.1109/ARES.2016.8;;;conf/IEEEares/HiranoO16;2017-05-24;;;;;355-364;;;;A Log-Structured Block Preservation and Restoration System for Proactive Forensic Data Collection in the Cloud.;;;db/conf/IEEEares/ares2016.html#HiranoO16;;2016
6614892;Fernando Benjamín Pérez Maurera|Maurizio Ferrari Dacrema|Nicolò Felicioni|Paolo Cremonesi;;;IIR;;;;conf/iir/2021;;;http://ceur-ws.org/Vol-2947/paper4.pdf;oa;;conf/iir/FelicioniDMC21;2021-10-25;;;;;;;;;Measuring the Ranking Quality of Recommendations in a Two-Dimensional Carousel Setting.;;;db/conf/iir/iir2021.html#FelicioniDMC21;;2021
6616914;Michael Kaufmann 0001|Ulrich Fößmeier;;;ESA;;;;conf/esa/1997;;;https://doi.org/10.1007/3-540-63397-9_14;;;conf/esa/FossmeierK97;2017-05-22;;;;;171-185;;;;Solving Rectilinear Steiner Tree Problems Exactly in Theory and Practice.;;;db/conf/esa/esa97.html#FossmeierK97;;1997
6620251;Christophe Guyeux|Jacques M. Bahi|Nicolas Friot;;;SECRYPT;;;;conf/secrypt/2013;;;https://ieeexplore.ieee.org/document/7223176/;;;conf/secrypt/BahiFG13;2021-08-11;;;;;275-283;;;;Topological Study and Lyapunov Exponent of a Secure Steganographic Scheme.;;;db/conf/secrypt/secrypt2013.html#BahiFG13;;2013
6621000;Yoshinori Ando;;;MHS;;;;conf/mhs/2012;;;https://doi.org/10.1109/MHS.2012.6492449;;;conf/mhs/Ando12;2017-05-25;;;;;4;;;;Production of carbon nanotubes.;;;db/conf/mhs/mhs2012.html#Ando12;;2012
6624461;P. A. Subrahmanyam;;;ICALP;;;;conf/icalp/1981;;;https://doi.org/10.1007/3-540-10843-2_12;;;conf/icalp/Subrahmanyam81;2017-05-19;;;;;148-164;;;;Nondeterminism in Abstract Data Types.;;;db/conf/icalp/icalp81.html#Subrahmanyam81;;1981
6624732;Namit Chaturvedi;;;ICALP (2);;;;conf/icalp/2014-2;;;https://doi.org/10.1007/978-3-662-43951-7_12;;;conf/icalp/Chaturvedi14;2017-05-23;;;;;134-145;;;;Toward a Structure Theory of Regular Infinitary Trace Languages.;;;db/conf/icalp/icalp2014-2.html#Chaturvedi14;;2014
6628844;Eva Tuba|Ivana Strumberger|Milan Tuba|Nebojsa Bacanin|Timea Bezdan;;;IDEAL (1);;;;conf/ideal/2019-1;;;https://doi.org/10.1007/978-3-030-33607-3_47;;;conf/ideal/BacaninTBST19;2019-11-07;;;;;437-445;;;;Artificial Flora Optimization Algorithm for Task Scheduling in Cloud Computing Environment.;;;db/conf/ideal/ideal2019-1.html#BacaninTBST19;;2019
6628998;Eric S. Fung|Michael K. Ng|Wai-Ki Ching;;;IDEAL;;;;conf/ideal/2004;;;https://doi.org/10.1007/978-3-540-28651-6_3;;;conf/ideal/ChingFN04;2017-05-26;;;;;17-24;;;;Building Genetic Networks for Gene Expression Patterns.;;;db/conf/ideal/ideal2004.html#ChingFN04;;2004
6629996;Andrzej Rusiecki|Krzysztof Gren|Miroslaw Kordos|Tomasz Kaminski;;0000-0003-2239-1076;IDEAL;;;;conf/ideal/2014;;;https://doi.org/10.1007/978-3-319-10840-7_33;;;conf/ideal/KordosRKG14;2020-06-15;;;;;266-274;;;;Weight Update Sequence in MLP Networks.;;;db/conf/ideal/ideal2014.html#KordosRKG14;;2014
6631367;Eric Debes|Fulvio Moschetti;;;VCIP;;;;conf/vcip/2000;;;;;;conf/vcip/MoschettiD00;2004-11-05;;;;;1356-1364;;;;Data adapting motion estimation and subsampling.;;;db/conf/vcip/vcip2000.html#MoschettiD00;;2000
6636308;Carola Lilienthal;;;CSMR;;;;conf/csmr/2009;;;http://doi.ieeecomputersociety.org/10.1109/CSMR.2009.16|https://doi.org/10.1109/CSMR.2009.16;;;conf/csmr/Lilienthal09;2017-05-24;;;;;17-26;;;;Architectural Complexity of Large-Scale Software Systems.;;;db/conf/csmr/csmr2009.html#Lilienthal09;;2009
6636528;Hajimu Iida|Masataka Kinoshita|Norihiro Yoshida;;;CSMR;;;;conf/csmr/2012;;;http://doi.ieeecomputersociety.org/10.1109/CSMR.2012.45|https://doi.org/10.1109/CSMR.2012.45;;;conf/csmr/YoshidaKI12;2017-05-24;;;;;365-370;;;;A Cohesion Metric Approach to Dividing Source Code into Functional Segments to Improve Maintainability.;;;db/conf/csmr/csmr2012.html#YoshidaKI12;;2012
6639970;Manuel Lanchares|Wassim M. Haddad;;;ACC;;;;conf/amcc/2021;;;https://doi.org/10.23919/ACC50511.2021.9483243;;;conf/amcc/HaddadL21;2021-07-30;;;;;3584-3589;;;;Dissipativity Theory for Discrete-Time Nonlinear Stochastic Dynamical Systems, Part I: Input-Output and State Properties.;;;db/conf/amcc/amcc2021.html#HaddadL21;;2021
6643175;Bong Keun Kim|Wan Kyun Chung;;;ACC;;;;conf/amcc/2001;;;https://doi.org/10.1109/ACC.2001.946085;;;conf/amcc/KimC01;2022-01-05;;;;;2249-2254;;;;Performance predictable design of robust motion controllers for high-precision servo systems.;;;db/conf/amcc/acc2001.html#KimC01;;2001
6645657;Antonio Arenella|Giulia D'Intino|Heinrich H. Bülthoff|Lorenzo Pollini;;0000-0002-9165-2594;ACC;;;;conf/amcc/2019;;;https://doi.org/10.23919/ACC.2019.8814610;;;conf/amcc/ArenellaDBP19;2021-10-14;;;;;4866-4871;;;;An Adaptive Haptic Aid System based on Desired Pilot Dynamics.;;;db/conf/amcc/acc2019.html#ArenellaDBP19;;2019
6646247;Nicola Elia|Seyyed Shaho Alaviani;;;ACC;;;;conf/amcc/2019;;;https://doi.org/10.23919/ACC.2019.8815134;;;conf/amcc/AlavianiE19;2021-08-08;;;;;1854-1859;;;;Distributed Average Consensus over Random Networks.;;;db/conf/amcc/acc2019.html#AlavianiE19;;2019
6646640;Jorge I. Sofrony|Matthew C. Turner|Nkemdilim A. Ofodile;;0000-0001-8594-9351;ACC;;;;conf/amcc/2016;;;https://doi.org/10.1109/ACC.2016.7526528;;;conf/amcc/OfodileTS16;2017-09-16;;;;;5473-5478;;;;Alternative approach to anti-windup synthesis for double integrator systems.;;;db/conf/amcc/acc2016.html#OfodileTS16;;2016
6650484;Faryar Jabbari|Solmaz Sajjadi-Kia;;0000-0002-8873-6551;ACC;;;;conf/amcc/2009;;;https://doi.org/10.1109/ACC.2009.5160540;;;conf/amcc/JabbariS09;2020-06-15;;;;;1905-1910;;;;Scheduled controllers for linear systems with bounded actuators: Slab condition.;;;db/conf/amcc/acc2009.html#JabbariS09;;2009
6658168;Jukka Saarinen|Marko Hännikäinen|Panu Hämäläinen|Timo D. Hämäläinen;;;ICASSP;;;;conf/icassp/2001;;;http://doi.ieeecomputersociety.org/10.1109/ICASSP.2001.941144|https://doi.org/10.1109/ICASSP.2001.941144;;;conf/icassp/HamalainenHHS01;2017-05-19;;;;;1221-1224;;;;Configurable hardware implementation of triple-DES encryption algorithm for wireless local area network.;;;db/conf/icassp/icassp2001.html#HamalainenHHS01;;2001
6661864;Paul H. Lewis|Tim J. Chown;;;ICASSP;;;;conf/icassp/1989;;;https://doi.org/10.1109/ICASSP.1989.266764;;;conf/icassp/ChownL89;2020-11-23;;;;;1655-1658;;;;Image analysis by enhanced facet modelling.;;;db/conf/icassp/icassp1989.html#ChownL89;;1989
6662968;Katerina Dikaios|Mehri Sajjadian|Rudolf Uher|Sageev Oore|Sheri Rempel|Sri Harsha Dumpala;;;ICASSP;;;;conf/icassp/2021;;;https://doi.org/10.1109/ICASSP39728.2021.9414129;;;conf/icassp/DumpalaRDSUO21;2021-07-09;;;;;7278-7282;;;;Estimating Severity of Depression From Acoustic Features and Embeddings of Natural Speech.;;;db/conf/icassp/icassp2021.html#DumpalaRDSUO21;;2021
6664016;Jari P. Kaipio|Jouko Tervo|Marko Juntunen;;;ICASSP;;;;conf/icassp/1998;;;https://doi.org/10.1109/ICASSP.1998.681577;;;conf/icassp/JuntunenTK98;2017-05-19;;;;;2173-2176;;;;Stabilization of stationary and time-varying autoregressive models.;;;db/conf/icassp/icassp1998.html#JuntunenTK98;;1998
6670265;Achintya Kumar Sarkar|Claude Barras|Viet Bac Le;;;ICASSP;;;;conf/icassp/2013;;;https://doi.org/10.1109/ICASSP.2013.6639152;;;conf/icassp/SarkarBL13;2017-05-19;;;;;7654-7658;;;;Lattice MLLR based m-vector system for speaker verification.;;;db/conf/icassp/icassp2013.html#SarkarBL13;;2013
6681623;Cagdas Tuna|Douglas L. Jones;;;ICASSP;;;;conf/icassp/2010;;;https://doi.org/10.1109/ICASSP.2010.5496028;;;conf/icassp/TunaJ10;2017-05-19;;;;;3278-3281;;;;Tone injection with aggressive clipping projection for OFDM PAPR reduction.;;;db/conf/icassp/icassp2010.html#TunaJ10;;2010
6685620;Chi-Wang Ting|Ka-Ho Ng|Lai-Man Po;;;ICASSP (2);;;;conf/icassp/2006;;;https://doi.org/10.1109/ICASSP.2006.1660489;;;conf/icassp/PoTN06;2020-06-22;;;;;901-904;;;;Enhanced Diamond Search Using Four-Corner-Based Inner Search For Fast Block Motion Estimation.;;;db/conf/icassp/icassp2006.html#PoTN06;;2006
6687766;D. Marginedes;;;ICASSP;;;;conf/icassp/1984;;;https://doi.org/10.1109/ICASSP.1984.1172432;;;conf/icassp/Marginedes84;2017-05-19;;;;;94-97;;;;Fast frequency tracking using an adaptive lattice filter for a vortex flowmeter signal.;;;db/conf/icassp/icassp1984.html#Marginedes84;;1984
6690981;Konstantinos Drossos|Mingle Liu|Tuomas Virtanen|Yanxiong Li;;0000-0002-3605-7127;ICASSP;;;;conf/icassp/2020;;;https://doi.org/10.1109/ICASSP40776.2020.9054433;;;conf/icassp/LiLDV20;2020-09-05;;;;;286-290;;;;Sound Event Detection Via Dilated Convolutional Recurrent Neural Networks.;;;db/conf/icassp/icassp2020.html#LiLDV20;;2020
6695543;Menglin Zeng|Truong Q. Nguyen;;;ICASSP;;;;conf/icassp/2013;;;https://doi.org/10.1109/ICASSP.2013.6637971;;;conf/icassp/ZengN13;2017-05-19;;;;;1840-1844;;;;Crosstalk modeling, analysis, simulation and cancellation in passive-type stereoscopic LCD displays.;;;db/conf/icassp/icassp2013.html#ZengN13;;2013
6697583;Hui Zhuo|Kin-Man Lam 0001;;;ICASSP;;;;conf/icassp/2012;;;https://doi.org/10.1109/ICASSP.2012.6288119;;;conf/icassp/ZhuoL12;2021-06-16;;;;;1265-1268;;;;An efficient local-structure-based face-hallucination method.;;;db/conf/icassp/icassp2012.html#ZhuoL12;;2012
